Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014 Step",2015 Decile,"2015  Step",Decile Change,Step Change,"July 2014 Funding roll Years 9+","July 2014 Funding roll Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
1141,TKKM o Rangiawhia,1,C,2,D,1,1,0,54,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1929,TKKM o Rotoiti,2,E,2,E,0,0,0,43,Full Primary,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1165,TKKM o Ruamata,2,F,3,H,1,2,73,155,Composite (Year 1-15),State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1142,TKKM o Takapau,3,I,3,H,0,-1,0,26,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
4226,TKKM o Tamaki Nui A Rua,2,E,3,I,1,4,22,82,Composite (Year 1-15),State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
4223,TKKM o Tamarongo,2,D,3,I,1,5,0,13,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2659,TKKM o Tapere-Nui-A-Whatonga,1,B,1,A,0,-1,0,28,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2104,TKKM o Taumarere,1,B,2,D,1,2,11,96,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3107,TKKM o Te Ara Hou,2,D,1,C,-1,-1,46,213,Composite (Year 1-15),State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1718,TKKM o Te Ara Rima,1,C,2,E,1,2,0,98,Full Primary,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
1670,TKKM o Te Ara Whanui,3,H,3,I,0,1,22,173,Composite (Year 1-15),State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
4160,TKKM o Te Atihaunui-A-Paparangi,2,D,4,J,2,6,0,57,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3100,TKKM o Te Hiringa,1,C,2,E,1,2,0,46,Full Primary,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
3104,TKKM o Te Kotuku,3,G,4,L,1,5,0,66,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1153,TKKM o Te Koutu,3,H,3,I,0,1,47,228,Composite (Year 1-15),State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
558,TKKM o Te Kura Kokiri,3,I,2,F,-1,-3,82,145,Composite (Year 1-15),State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
2011,TKKM o Te Matai,2,F,1,C,-1,-3,0,38,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1584,TKKM o Te Raki Paewhenua,5,M,6,N,1,1,18,91,Composite (Year 1-15),State,Auckland- Upper Harbour,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1154,TKKM o Te Rawhiti Roa,1,B,1,C,0,1,49,182,Composite (Year 1-15),State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
4211,TKKM o Te Rito,3,I,5,M,2,4,109,161,Composite (Year 1-15),State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
3117,TKKM o Te Tonga o Hokianga,2,D,2,D,0,0,45,107,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1673,TKKM o Te Waiu o Ngati Porou,1,B,1,C,0,1,42,188,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1618,TKKM o Te Whanau Tahi,3,H,3,I,0,1,17,116,Composite (Year 1-15),State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
4218,TKKM o Tokomaru,3,H,3,G,0,-1,0,17,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1589,TKKM o Toku Mapihi Maurea,5,M,5,M,0,0,0,95,Full Primary,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
628,TKKM o Tuia te Matangi,5,M,4,J,-1,-3,7,47,Composite (Year 1-15),State,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
2377,TKKM o Tupoho,1,B,1,C,0,1,33,137,Composite (Year 1-15),State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2061,TKKM o Waioweka,1,B,1,B,0,0,0,73,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1651,TKKM o Wairarapa,2,E,2,D,0,-1,9,81,Composite (Year 1-15),State,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
4212,TKKM o Waitaha,2,E,2,E,0,0,23,82,Composite (Year 1-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
3102,TKKM o Waiuku,5,M,5,M,0,0,0,15,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
4230,TKKM o Whakarewa I Te Reo Ki Tuwharetoa,2,F,2,E,0,-1,27,116,Composite (Year 1-15),State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
282,TKKM o Whakawatea,4,L,4,K,0,-1,0,126,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
3106,TKKM o Whangaroa,2,D,2,E,0,1,28,56,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
4030,Tokanui School,6,N,10,Z,4,4,0,117,Full Primary,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
2253,Tokirima School,6,N,9,Q,3,3,0,10,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2254,Toko School,8,P,7,O,-1,-1,0,119,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
3845,Tokoiti School,4,K,4,J,0,-1,0,40,Contributing,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
392,Tokomairiro High School,5,M,4,K,-1,-2,183,272,Secondary (Year 7-15),State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
3046,Tokomaru School,7,O,6,N,-1,-1,0,60,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2035,Tokoroa Central School,1,A,1,B,0,1,0,109,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
158,Tokoroa High School,2,D,2,D,0,0,492,492,Secondary (Year 9-15),State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
2037,Tokoroa Intermediate,2,F,2,E,0,-1,0,316,Intermediate,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
2038,Tokoroa North School,4,J,3,G,-1,-3,0,468,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
212,Tolaga Bay Area School,2,D,1,C,-1,-1,81,219,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1115,Tomarata School,7,O,5,M,-2,-2,0,169,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Northland,Te Tai Tokerau
476,Tongariro School,2,E,1,C,-1,-2,111,438,Composite (Year 1-15),State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
1538,Torbay School,10,Z,10,Z,0,0,0,479,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
439,Totara College of Accelerated Learning,3,I,3,H,0,-1,19,52,Composite (Year 1-15),State: Integrated,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1028,Totara Grove School,2,E,2,E,0,0,0,332,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1116,Totara North School,3,I,2,D,-1,-5,0,24,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3048,Totara Park School,7,O,7,O,0,0,0,300,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3847,Totara School,6,N,6,N,0,0,0,43,Full Primary,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2099,Trentham School,4,L,5,M,1,1,0,364,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
143,Trident High School,5,M,4,K,-1,-2,1114,1114,Secondary (Year 9-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3050,Tua Marina School,7,O,9,Q,2,2,0,129,Full Primary,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
3563,Tuahiwi School,7,O,6,N,-1,-1,0,108,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
106,Tuakau College,4,L,4,J,0,-2,455,613,Secondary (Year 7-15),State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
1539,Tuakau School,2,D,2,D,0,0,0,194,Contributing,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
3051,Tui Glen School,2,F,2,D,0,-2,0,96,Full Primary,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2040,Turaki School,2,F,3,G,1,1,0,235,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
194,Turakina Maori Girls' College,3,H,3,I,0,1,63,63,Secondary (Year 9-15),State: Integrated,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2468,Turakina School,4,L,3,I,-1,-3,0,38,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2043,Turua Primary School,7,O,5,M,-2,-2,0,74,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2255,Turuturu School,6,N,5,M,-1,-1,0,196,Contributing,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
2710,Tutira School,4,K,5,M,1,2,0,32,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
4032,Tuturau Primary School,4,K,4,K,0,0,0,26,Contributing,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3052,Tuturumuri School,7,O,4,J,-3,-5,0,13,Full Primary,State,South Wairarapa District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
527,Twizel Area School,8,P,8,P,0,0,44,183,Composite (Year 1-15),State,Mackenzie District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
2711,Twyford School,5,M,4,L,-1,-1,0,165,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1119,Umawera School,2,E,2,D,0,-1,0,31,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2469,Upokongaro School,4,J,2,F,-2,-4,0,65,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2044,Upper Atiamuri School,5,M,4,J,-1,-3,0,27,Full Primary,State,Rotorua District,Waikato Region,Rotorua,Rotorua,Waiariki
6955,Upper Harbour Primary School,10,Z,10,Z,0,0,0,435,Contributing,State,Auckland- Upper Harbour,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
250,Upper Hutt College,7,O,6,N,-1,-1,1065,1065,Secondary (Year 9-15),State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3053,Upper Hutt School,6,N,6,N,0,0,0,340,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3229,Upper Moutere School,7,O,8,P,1,1,0,126,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
2256,Urenui School,5,M,5,M,0,0,0,35,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
2257,Uruti School,3,I,4,L,1,3,0,18,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
1540,Valley School,8,P,8,P,0,0,0,481,Contributing,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
519,Van Asch Deaf Education Centre,4,L,4,L,0,0,19,27,Special School,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
2045,Vardon School,4,L,4,L,0,0,0,322,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
1541,Vauxhall School,10,Z,10,Z,0,0,0,286,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
408,Verdon College,5,M,6,N,1,1,449,649,Secondary (Year 7-15),State: Integrated,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1543,Verran Primary School,7,O,8,P,1,1,0,294,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1544,Victoria Avenue School,10,Z,10,Z,0,0,0,508,Contributing,State,Auckland- Orakei,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
3231,Victory Primary School,3,G,2,E,-1,-2,0,397,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3565,View Hill School,7,O,7,O,0,0,0,56,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1545,View Road School,5,M,5,M,0,0,0,143,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
326,Villa Maria College,9,Q,9,Q,0,0,645,724,Secondary (Year 7-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
1546,Viscount School,1,A,1,A,0,0,0,673,Full Primary,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
2258,Vogeltown School,7,O,6,N,-1,-1,0,298,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
1189,Wa Ora Montessori School,7,O,8,P,1,1,43,200,Composite (Year 1-15),State: Integrated,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3055,Wadestown School,10,Z,10,Z,0,0,0,334,Full Primary,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
2046,Waerenga School,8,P,6,N,-2,-2,0,88,Contributing,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
2712,Waerenga-O-Kuri School,8,P,9,Q,1,1,0,30,Full Primary,State,Gisborne District,Gisborne Region,Napier,Napier,Ikaroa-Rawhiti
4034,Waianiwa School,8,P,9,Q,1,1,0,55,Contributing,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
402,Waiau Area School,5,M,3,H,-2,-5,36,110,Composite (Year 1-15),State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1547,Waiau Pa School,9,Q,9,Q,0,0,0,312,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
3566,Waiau School,6,N,8,P,2,2,0,60,Contributing,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
3567,Waihao Downs School,8,P,9,Q,1,1,0,56,Contributing,State,Waimate District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
1120,Waiharara School,3,G,1,A,-2,-6,0,14,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
530,Waiheke High School,6,N,7,O,1,1,343,518,Secondary (Year 7-15),State,Auckland- Waiheke,Auckland Region,Auckland South,Auckland Central,Hauraki-Waikato
6922,Waiheke Primary School,5,M,7,O,2,2,0,211,Full Primary,State,Auckland- Waiheke,Auckland Region,Auckland South,Auckland Central,Hauraki-Waikato
2048,Waihi Beach School,6,N,7,O,1,1,0,260,Contributing,State,Western Bay of Plenty District,Bay of Plenty Region,Hamilton,Coromandel,Hauraki-Waikato
2050,Waihi Central School,2,F,2,F,0,0,0,175,Contributing,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
114,Waihi College,3,I,4,J,1,1,480,673,Secondary (Year 7-15),State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2049,Waihi East School,3,G,3,H,0,1,0,182,Contributing,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
3850,Waihola District School,6,N,7,O,1,1,0,21,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
4035,Waihopai School,9,Q,8,P,-1,-1,0,367,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
4036,Waikaia School,9,Q,9,Q,0,0,0,26,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
4037,Waikaka School,8,P,10,Z,2,2,0,40,Full Primary,State,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3056,Waikanae School,8,P,9,Q,1,1,0,421,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
2052,Waikaretu School,5,M,6,N,1,1,0,11,Full Primary,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
3569,Waikari School,4,K,5,M,1,2,0,36,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
140,Waikato Diocesan School For Girls,10,Z,10,Z,0,0,652,652,Secondary (Year 9-15),State: Integrated,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
539,Waikato Waldorf School ( Rudolf Steiner),7,O,7,O,0,0,4,159,Composite (Year 1-15),State: Integrated,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
3057,Waikawa Bay School,5,M,5,M,0,0,0,146,Contributing,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
2054,Waikino School,3,G,5,M,2,6,0,43,Contributing,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2715,Waikirikiri School,1,A,1,B,0,1,0,176,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2055,Waikite Valley School,10,Z,10,Z,0,0,0,45,Full Primary,State,Rotorua District,Waikato Region,Rotorua,Rotorua,Waiariki
3851,Waikoikoi School,8,P,7,O,-1,-1,0,27,Contributing,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
3852,Waikouaiti School,7,O,6,N,-1,-1,0,74,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1548,Waikowhai Intermediate,6,N,5,M,-1,-1,0,379,Intermediate,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
1549,Waikowhai School,3,H,2,F,-1,-2,0,231,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
1122,Waima School,1,A,1,C,0,2,0,62,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1569,Waimahia Intermediate School,1,C,1,B,0,-1,0,236,Intermediate,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
3571,Waimairi School,9,Q,9,Q,0,0,0,494,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2057,Waimana School,1,A,2,F,1,5,0,38,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2718,Waimarama School,4,L,3,I,-1,-3,0,28,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2058,Waimata School,4,J,3,I,-1,-1,0,36,Contributing,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
3572,Waimataitai School,7,O,6,N,-1,-1,0,382,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3573,Waimate Centennial School,3,H,4,L,1,4,0,166,Contributing,State,Waimate District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
362,Waimate High School,4,J,5,M,1,3,196,280,Secondary (Year 7-15),State,Waimate District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
3574,Waimate Main School,2,E,3,I,1,4,0,88,Contributing,State,Waimate District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
1550,Waimauku School,10,Z,10,Z,0,0,0,644,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
296,Waimea College,8,P,8,P,0,0,1374,1374,Secondary (Year 9-15),State,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
3233,Waimea Intermediate,8,P,8,P,0,0,0,624,Intermediate,State,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
2060,Waingaro School,9,Q,8,P,-1,-1,0,39,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
3575,Wainoni School,1,A,1,B,0,1,0,92,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
2721,Wainui Beach School,7,O,7,O,0,0,0,210,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1552,Wainui School,10,Z,9,Q,-1,-1,0,223,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
478,Wainuiomata High School,4,J,3,I,-1,-1,731,731,Secondary (Year 9-15),State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
1646,Wainuiomata Intermediate,4,J,3,I,-1,-1,0,319,Intermediate,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
3059,Wainuiomata Primary School,4,L,4,K,0,-1,0,343,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
3060,Wainuioru School,9,Q,9,Q,0,0,0,90,Full Primary,State,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1553,Waioneke School,7,O,4,L,-3,-3,0,87,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
237,Waiopehu College,2,F,2,F,0,0,621,621,Secondary (Year 9-15),State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2063,Waiotahe Valley School,3,H,3,I,0,1,0,100,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1124,Waiotira School,3,G,3,G,0,0,0,20,Contributing,State,Whangarei District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2472,Waiouru School,8,P,7,O,-1,-1,0,103,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
