family,stem
B,208
C,185
D,202
C,175
D,148
A,182
B,187
A,192
D,137
C,175
B,186
A,172
C,230
D,202
B,151
B,176
A,175
D,190
B,227
D,197
C,204
A,175
B,165
C,175
A,187
D,147
D,167
A,207
B,235
C,177
B,175
C,181
A,179
D,182
C,129
U,202
L,205
E,220
S,197
C,216
K,189
Y,126
T,180
Q,203
R,139
A,197
P,226
X,198
G,200
W,205
V,236
M,180
D,187
F,206
J,227
H,226
O,129
N,143
Z,119
A,185
B,198
C,200
D,182
A,188
D,183
C,188
B,167
